filename,id2,date,NDVI,blue,green,narrow_nir,nir,rdg_1,rdg_2,rdg_3,red,swir1,swir2
2_20190107T043149_20190107T043708_T45QYG_00000000000000000001,md_anayet_ali_gong_f,1/7/2019,0.711080739,425.1069519,702.1604278,2742.893048,3135.68984,1069.529412,2346.818182,2593.438503,528.2994652,1882.459893,1187.962567
2_20190112T043141_20190112T043642_T45QYG_00000000000000000001,md_anayet_ali_gong_f,1/12/2019,0.548736671,824.5935829,1029.786096,2571.561497,2787.026738,1229.705882,2251.02139,2485.620321,811.2566845,1756.15508,1062.684492
2_20190117T043119_20190117T043639_T45QYG_00000000000000000001,md_anayet_ali_gong_f,1/17/2019,0.611895429,729.0588235,910.9518717,2531.97861,2863.165775,1113.962567,2195.812834,2470.192513,688.4010695,1559.208556,944.3957219
2_20190122T043101_20190122T043322_T45QYG_00000000000000000001,md_anayet_ali_gong_f,1/22/2019,0.647965067,529.7647059,764.7112299,2693.144385,2791.796791,1088,2243.919786,2562.203209,595.5187166,1660.641711,1066.262032
2_20190127T043039_20190127T043627_T45QYG_00000000000000000001,md_anayet_ali_gong_f,1/27/2019,0.597516011,718.1122995,891.9411765,2592.262032,2695.208556,1092.048128,2167.385027,2473.989305,678.3475936,1591.770053,958.6951872
2_20190201T043011_20190201T044135_T45QYG_00000000000000000001,md_anayet_ali_gong_f,2/1/2019,0.65689392,521.6096257,717.9839572,2452.352941,2620.887701,1005.497326,2017.946524,2258.053476,542.3743316,1510.465241,889.8235294
2_20190206T042949_20190206T043539_T45QYG_00000000000000000001,md_anayet_ali_gong_f,2/6/2019,0.656063597,619.4010695,828.2406417,2609.224599,2894.524064,1114.106952,2120.588235,2504.791444,600.2780749,1614.855615,972.7379679
2_20190211T042921_20190211T043121_T45QYG_00000000000000000001,md_anayet_ali_gong_f,2/11/2019,0.725630734,386.3957219,716.1818182,2761.534759,3104.235294,1109.486631,2343.786096,2640.721925,493.8181818,1808.631016,1144.802139
2_20190221T042811_20190221T043725_T45QYG_00000000000000000001,md_anayet_ali_gong_f,2/21/2019,0.56348013,506.8823529,786.9358289,2415.481283,2386.994652,1191.427807,2044.909091,2335.074866,666.3582888,1893.256684,1249.625668
2_20190226T042739_20190226T043910_T45QYG_00000000000000000001,md_anayet_ali_gong_f,2/26/2019,0.610928966,443.8074866,674.197861,1761.44385,2166.406417,898.1229947,1607.930481,1769.748663,522.9465241,1127.55615,550.1497326
2_20190303T042701_20190303T042658_T45QYG_00000000000000000001,md_anayet_ali_gong_f,3/3/2019,0.51684085,525.6470588,767.9358289,2190.363636,2110.673797,1126.347594,1890.877005,2029.160428,671.2727273,1680.122995,1128.636364
2_20190308T042659_20190308T044054_T45QYG_00000000000000000001,md_anayet_ali_gong_f,3/8/2019,0.471778795,671.368984,851.9572193,2260.213904,2179.037433,1199.620321,1933.090909,2181.828877,779.0427807,1858.219251,1298.02139
2_20190323T042701_20190323T043918_T45QYG_00000000000000000001,md_anayet_ali_gong_f,3/23/2019,0.315820076,770.9893048,1110.823529,2554.165775,2340.385027,1541.294118,2165.930481,2346.101604,1217.208556,2449.73262,1917.807487
2_20190328T042709_20190328T043805_T45QYG_00000000000000000001,md_anayet_ali_gong_f,3/28/2019,0.273411761,865.1497326,1187.229947,2560.721925,2433.251337,1572.02139,2187.048128,2515.486631,1389.005348,2588.668449,2050.914439
2_20190407T042709_20190407T044140_T45QYG_00000000000000000001,md_anayet_ali_gong_f,4/7/2019,0.354159792,530.144385,809.7219251,2096.42246,1912.160428,1187.657754,1818.283422,2085.294118,897.7272727,1866.235294,1294.128342
